rsn,bucket,vet11950,vet11951,vet11952,vet11953,vet01950,vet01951,vet01952,vet01953
1,1-5,0.393418105,0.335850024,0.345660687,0.201145684,0.339158595,0.314622311,0.321083087,0.207076735
6,6-10,0.388499901,0.31778518,0.329851625,0.199352116,0.316816757,0.253121923,0.30847458,0.221955018
11,11-15,0.39516254,0.321107443,0.34555622,0.173173389,0.377353373,0.264126254,0.296638309,0.178408819
16,16-20,0.378936245,0.339308681,0.316824172,0.179565006,0.347290262,0.331639039,0.267324699,0.204209097
21,21-25,0.373228907,0.328434981,0.316170097,0.176179062,0.325429833,0.374907249,0.260360288,0.20680505
26,26-30,0.377389399,0.338354969,0.316799632,0.176236381,0.349036576,0.296452351,0.256662668,0.20999806
31,31-35,0.382797054,0.332398598,0.351651572,0.167794954,0.323910207,0.259893132,0.282033251,0.212861749
36,36-40,0.375849636,0.336623863,0.339318467,0.175024344,0.329567163,0.318603953,0.293665415,0.221573827
41,41-45,0.39783466,0.331088136,0.306615028,0.170920457,0.319134671,0.286546906,0.290604265,0.201913891
46,46-50,0.391254137,0.332396187,0.316705408,0.161186673,0.325401419,0.327653142,0.283888777,0.193893435
51,51-55,0.382489772,0.332342784,0.305692665,0.137659655,0.30716995,0.286681333,0.287926586,0.195915516
56,56-60,0.416676503,0.330652867,0.332406206,0.155309542,0.341473289,0.299584013,0.301307755,0.195199734
61,61-65,0.384020829,0.308445152,0.330918492,0.15983437,0.362905764,0.306499813,0.293322357,0.14830275
66,66-70,0.381614359,0.313886518,0.316321987,0.144503042,0.349570907,0.2561482,0.313690516,0.192307757
71,71-75,0.387437005,0.318458109,0.341631309,0.138232341,0.346787992,0.276072118,0.283679074,0.182222851
76,76-80,0.366010889,0.331545207,0.322452335,0.136584652,0.331813572,0.305336177,0.283984093,0.218261782
81,81-85,0.368978139,0.318574427,0.297586795,0.138716002,0.326247033,0.286875694,0.279681934,0.222476868
86,86-90,0.374342477,0.316155269,0.318106492,0.145595736,0.376979176,0.280663569,0.284128016,0.194770111
91,91-95,0.375637888,0.314946158,0.311392064,0.139882784,0.313234596,0.309365885,0.27311247,0.205637137
96,96-100,0.35293806,0.305196853,0.182649344,0.138230775,0.344298884,0.281572926,0.211498232,0.167488737
101,101-105,0.371211409,0.300093568,0.148276447,0.1409474,0.339709764,0.291461263,0.205904217,0.172372809
106,106-110,0.351591524,0.298223783,0.158652628,0.133290408,0.307495623,0.275207456,0.203279999,0.158413084
111,111-115,0.356498165,0.295918618,0.172891625,0.129585895,0.316365333,0.279161876,0.215530856,0.177827068
116,116-120,0.373973215,0.287536221,0.159098343,0.127532948,0.294220071,0.30441483,0.178664997,0.150604658
121,121-125,0.359109806,0.297820174,0.161161699,0.124728308,0.31848183,0.273068338,0.192518313,0.193828809
126,126-130,0.359563971,0.227488626,0.156084082,0.135592464,0.339923338,0.254612414,0.192370369,0.186352222
131,131-135,0.333233969,0.218680754,0.166939162,0.122020047,0.320881451,0.239644812,0.176364007,0.13739832
136,136-140,0.377595258,0.21566949,0.151737161,0.128503349,0.320188279,0.218544919,0.194740734,0.173687784
141,141-145,0.36113407,0.222712454,0.144088696,0.134232511,0.293275609,0.233863958,0.196232766,0.184889686
146,146-150,0.367901832,0.223085457,0.145262543,0.134046079,0.358449624,0.220554824,0.160783083,0.186000336
