,rate,comps,nodes,LL_mean,LL_sd
0,0.001,8,24,-3.60479,0.21737
1,0.001,8,25,-3.5553,0.201443
2,0.001,8,27,-3.77562,0.208989
3,0.001,8,28,-3.38782,0.613595
4,0.001,8,30,-3.50424,0.191042
5,0.001,8,31,-3.39418,0.29085
6,0.001,8,33,-3.40331,0.311892
7,0.001,8,34,-3.77482,0.467469
8,0.001,8,36,-3.50625,0.188122
9,0.001,8,37,-3.61043,0.232673
10,0.001,8,39,-3.45141,0.172685
11,0.001,8,41,-3.45995,0.350275
12,0.001,8,42,-3.41067,0.72502
13,0.001,8,44,-3.67942,0.206942
14,0.001,8,45,-3.77044,0.31882
15,0.001,8,47,-3.49066,0.293779
16,0.001,8,48,-3.38797,0.281408
17,0.001,8,50,-3.61061,0.377515
18,0.001,8,51,-3.59474,0.234827
19,0.001,8,53,-3.38798,0.511856
20,0.001,8,55,-3.30018,0.154754
21,0.001,8,56,-3.43738,0.231223
22,0.001,8,58,-3.41584,0.439259
23,0.001,8,59,-3.33429,0.353041
24,0.001,8,61,-3.43348,0.529977
25,0.001,8,62,-3.8406,0.146313
26,0.001,8,64,-3.84269,0.34621
27,0.001,8,65,-3.32931,0.382858
28,0.001,8,67,-3.40249,0.543588
29,0.001,8,68,-3.73355,0.500454
30,0.001,8,70,-3.72201,0.367496
31,0.001,8,72,-3.41667,0.688926
32,0.001,8,73,-3.70565,0.274233
33,0.001,8,75,-3.40943,0.278264
34,0.001,8,76,-3.6135,0.286459
35,0.001,8,78,-3.62073,0.342979
36,0.001,8,79,-3.56738,0.354582
37,0.001,8,81,-3.31113,0.111505
38,0.001,8,82,-3.34285,0.257583
39,0.001,8,84,-3.53303,0.43808
40,0.001,8,86,-3.43241,0.323309
41,0.001,8,87,-3.25226,0.452142
42,0.001,8,89,-3.2053,0.43553
43,0.001,8,90,-3.40605,0.512772
44,0.001,8,92,-3.41978,0.382898
45,0.001,8,93,-3.54544,0.274274
46,0.001,8,95,-3.50696,0.229125
47,0.001,8,96,-3.34953,0.25518
48,0.001,8,98,-3.63685,0.355255
49,0.001,8,100,-3.42739,0.29341
50,0.001,9,27,-3.76528,0.291495
51,0.001,9,28,-3.7511,0.35241
52,0.001,9,29,-3.51581,0.441606
53,0.001,9,31,-3.4406,0.252741
54,0.001,9,32,-3.47409,0.218888
55,0.001,9,34,-3.75514,0.276113
56,0.001,9,35,-3.59944,0.455394
57,0.001,9,37,-3.49194,0.296993
58,0.001,9,38,-3.76709,0.339111
59,0.001,9,40,-3.64326,0.62205
60,0.001,9,41,-3.61479,0.295559
61,0.001,9,43,-3.75936,0.28841
62,0.001,9,44,-3.74746,0.18157
63,0.001,9,46,-3.51481,0.317277
64,0.001,9,47,-3.18627,0.382091
65,0.001,9,49,-3.84888,0.421749
66,0.001,9,50,-3.89394,0.464775
67,0.001,9,52,-3.6148,0.370068
68,0.001,9,53,-3.44091,0.295745
69,0.001,9,55,-3.62538,0.527934
70,0.001,9,56,-3.54152,0.241066
71,0.001,9,58,-3.5812,0.149806
72,0.001,9,59,-3.40598,0.346372
73,0.001,9,61,-3.59666,0.394246
74,0.001,9,62,-3.49094,0.166667
75,0.001,9,64,-3.31564,0.393813
76,0.001,9,65,-3.50645,0.203186
77,0.001,9,67,-3.40173,0.41058
78,0.001,9,68,-3.58021,0.607304
79,0.001,9,70,-3.50388,0.280786
80,0.001,9,71,-3.54108,0.361783
81,0.001,9,73,-3.25588,0.348767
82,0.001,9,74,-3.40972,0.336634
83,0.001,9,76,-3.48017,0.195725
84,0.001,9,77,-3.39943,0.392322
85,0.001,9,79,-3.55961,0.253393
86,0.001,9,80,-3.77454,0.285448
87,0.001,9,82,-3.49681,0.335942
88,0.001,9,83,-3.67976,0.464537
89,0.001,9,85,-3.43706,0.339999
90,0.001,9,86,-3.5879,0.407409
91,0.001,9,88,-3.58211,0.130512
92,0.001,9,89,-3.34016,0.557806
93,0.001,9,91,-3.27443,0.223319
94,0.001,9,92,-3.09433,0.875996
95,0.001,9,94,-3.02497,0.872986
96,0.001,9,95,-3.43565,0.224363
97,0.001,9,97,-3.46318,0.476754
98,0.001,9,98,-3.54508,0.352942
99,0.001,9,100,-3.12337,0.374235
100,0.001,10,30,-3.27648,0.257528
101,0.001,10,31,-3.28736,0.493391
102,0.001,10,32,-3.61155,0.206
103,0.001,10,34,-3.55584,0.217753
104,0.001,10,35,-3.23021,0.166202
105,0.001,10,37,-3.5203,0.260478
106,0.001,10,38,-3.25447,0.241208
107,0.001,10,40,-3.4897,0.173145
108,0.001,10,41,-3.48907,0.223304
109,0.001,10,42,-3.38766,0.239777
110,0.001,10,44,-3.38674,0.245206
111,0.001,10,45,-3.40951,0.230682
112,0.001,10,47,-3.26805,0.0926182
113,0.001,10,48,-3.3598,0.326313
114,0.001,10,50,-3.33894,0.0778214
115,0.001,10,51,-3.31445,0.221556
116,0.001,10,52,-3.45565,0.365147
117,0.001,10,54,-3.61887,0.313196
118,0.001,10,55,-3.2163,0.73341
119,0.001,10,57,-3.22655,0.496073
120,0.001,10,58,-3.10482,0.593767
121,0.001,10,60,-3.44532,0.303051
122,0.001,10,61,-3.35315,0.162568
123,0.001,10,62,-3.37972,0.363883
124,0.001,10,64,-3.76806,0.125948
125,0.001,10,65,-3.36759,0.358593
126,0.001,10,67,-3.24625,0.404594
127,0.001,10,68,-3.37303,0.5715
128,0.001,10,70,-3.31,0.24649
129,0.001,10,71,-3.62359,0.340348
130,0.001,10,72,-3.64028,0.474082
131,0.001,10,74,-3.53871,0.293165
132,0.001,10,75,-3.53254,0.234802
133,0.001,10,77,-3.38012,0.183996
134,0.001,10,78,-3.32611,0.349942
135,0.001,10,80,-3.31396,0.406797
136,0.001,10,81,-3.36215,0.179007
137,0.001,10,82,-3.25944,0.410098
138,0.001,10,84,-3.53922,0.26442
139,0.001,10,85,-3.53248,0.540752
140,0.001,10,87,-3.3717,0.390785
141,0.001,10,88,-3.50938,0.170887
142,0.001,10,90,-3.69925,0.347497
143,0.001,10,91,-3.38579,0.411664
144,0.001,10,92,-3.58362,0.428024
145,0.001,10,94,-3.34706,0.523998
146,0.001,10,95,-3.54827,0.255871
147,0.001,10,97,-3.09662,0.418386
148,0.001,10,98,-3.5416,0.341303
149,0.001,10,100,-3.52879,0.232959
