,rate,comps,nodes,LL_mean,LL_sd
0,0.001,1,3,-3.68658,0.429397
1,0.001,1,4,-3.64568,0.370281
2,0.001,1,6,-3.52977,0.499853
3,0.001,1,8,-3.98925,0.290661
4,0.001,1,10,-2.66644,0.886712
5,0.001,1,12,-3.02381,1.93517
6,0.001,1,14,-3.46797,0.681247
7,0.001,1,16,-3.827,0.56389
8,0.001,1,18,-3.27095,0.67752
9,0.001,1,20,-3.78834,0.162116
10,0.001,1,22,-3.29899,1.28414
11,0.001,1,24,-3.35015,0.966697
12,0.001,1,26,-2.93244,1.37062
13,0.001,1,28,-3.15179,0.730481
14,0.001,1,30,-3.809,0.192127
15,0.001,1,32,-3.76826,0.559085
16,0.001,1,34,-3.88542,0.430499
17,0.001,1,36,-3.47176,1.01562
18,0.001,1,38,inf,
19,0.001,1,40,inf,
20,0.001,1,42,inf,
21,0.001,1,44,-3.80416,0.153087
22,0.001,1,46,-4.06866,0.317499
23,0.001,1,48,inf,
24,0.001,1,50,inf,
25,0.001,1,52,-3.59034,0.198269
26,0.001,1,54,-3.96731,0.165307
27,0.001,1,56,-3.8922,0.269834
28,0.001,1,58,inf,
29,0.001,1,60,inf,
30,0.001,1,62,inf,
31,0.001,1,64,-3.83531,0.53805
32,0.001,1,66,-3.58275,0.0721903
33,0.001,1,68,-3.33936,1.10014
34,0.001,1,70,-3.67445,0.393399
35,0.001,1,72,-3.74646,0.221278
36,0.001,1,74,inf,
37,0.001,1,76,-3.80587,0.443044
38,0.001,1,78,-2.69943,0.958026
39,0.001,1,80,inf,
40,0.001,1,82,-3.1949,1.84383
41,0.001,1,84,inf,
42,0.001,1,86,inf,
43,0.001,1,88,inf,
44,0.001,1,90,-3.80566,0.447262
45,0.001,1,92,-3.42894,0.594841
46,0.001,1,94,inf,
47,0.001,1,96,-4.06189,0.204771
48,0.001,1,98,-3.49927,0.991135
49,0.001,1,100,-3.69709,0.430394
50,0.001,2,6,-4.13046,0.190864
51,0.001,2,7,-3.9893,0.22425
52,0.001,2,9,-3.78975,0.1771
53,0.001,2,11,-3.67619,0.20673
54,0.001,2,13,-3.8065,0.46534
55,0.001,2,15,-3.66076,0.156316
56,0.001,2,17,-3.7636,0.406745
57,0.001,2,19,-3.62855,0.331684
58,0.001,2,21,-3.6951,0.313358
59,0.001,2,23,-3.59735,0.644799
60,0.001,2,25,-3.6498,0.250474
61,0.001,2,27,-3.78984,0.400463
62,0.001,2,29,-3.72957,0.370149
63,0.001,2,30,-3.83352,0.214868
64,0.001,2,32,-3.89927,0.386055
65,0.001,2,34,-3.7962,0.227113
66,0.001,2,36,-3.95981,0.390922
67,0.001,2,38,-3.80143,0.442223
68,0.001,2,40,-3.97929,0.497661
69,0.001,2,42,-3.77526,0.195489
70,0.001,2,44,-3.8749,0.221416
71,0.001,2,46,-3.79144,0.179409
72,0.001,2,48,-4.00161,0.365811
73,0.001,2,50,-3.86794,0.259306
74,0.001,2,52,-3.76552,0.270962
75,0.001,2,53,-3.92628,0.315715
76,0.001,2,55,-3.66125,0.171947
77,0.001,2,57,-3.95856,0.450692
78,0.001,2,59,-3.69528,0.305401
79,0.001,2,61,-3.70959,0.380913
80,0.001,2,63,-3.82761,0.146826
81,0.001,2,65,-3.85076,0.325452
82,0.001,2,67,-3.7099,0.499145
83,0.001,2,69,-3.6902,0.29846
84,0.001,2,71,-3.99327,0.161996
85,0.001,2,73,-4.0586,0.152277
86,0.001,2,75,-3.8425,0.286079
87,0.001,2,76,-3.56383,0.416121
88,0.001,2,78,-3.66579,0.355112
89,0.001,2,80,-3.70707,0.0743755
90,0.001,2,82,-3.5759,0.534386
91,0.001,2,84,-3.62053,0.535669
92,0.001,2,86,-3.71191,0.359045
93,0.001,2,88,-3.64208,0.276382
94,0.001,2,90,-3.96371,0.312394
95,0.001,2,92,-3.66131,0.472748
96,0.001,2,94,-3.95131,0.36907
97,0.001,2,96,-4.00965,0.123682
98,0.001,2,98,-3.89456,0.229431
99,0.001,2,100,-3.65907,0.439416
100,0.001,3,9,-3.68277,0.438362
101,0.001,3,10,-3.56419,0.216644
102,0.001,3,12,-3.57014,0.125646
103,0.001,3,14,-3.65536,0.340926
104,0.001,3,16,-3.82853,0.187918
105,0.001,3,18,-3.41917,0.350143
106,0.001,3,20,-3.65358,0.269806
107,0.001,3,22,-3.42159,0.295265
108,0.001,3,23,-3.51559,0.256165
109,0.001,3,25,-3.94749,0.272939
110,0.001,3,27,-3.38178,0.340718
111,0.001,3,29,-3.56655,0.279321
112,0.001,3,31,-3.77367,0.338404
113,0.001,3,33,-3.54457,0.180046
114,0.001,3,35,-3.52342,0.112166
115,0.001,3,36,-3.999,0.293218
116,0.001,3,38,-3.76142,0.485298
117,0.001,3,40,-3.5532,0.284166
118,0.001,3,42,-3.44143,0.369764
119,0.001,3,44,-3.55652,0.143502
120,0.001,3,46,-3.79091,0.282426
121,0.001,3,48,-3.51989,0.300561
122,0.001,3,49,-3.69445,0.351417
123,0.001,3,51,-3.47063,0.177191
124,0.001,3,53,-3.45416,0.384431
125,0.001,3,55,-3.55044,0.310227
126,0.001,3,57,-3.384,0.202976
127,0.001,3,59,-3.65874,0.180422
128,0.001,3,61,-3.70718,0.284032
129,0.001,3,62,-3.53657,0.680121
130,0.001,3,64,-3.59265,0.357247
131,0.001,3,66,-3.5494,0.324208
132,0.001,3,68,-3.76491,0.440643
133,0.001,3,70,-3.36676,0.411094
134,0.001,3,72,-3.78716,0.176088
135,0.001,3,74,-3.45172,0.33814
136,0.001,3,75,-3.59696,0.320303
137,0.001,3,77,-3.70723,0.506595
138,0.001,3,79,-3.52131,0.200976
139,0.001,3,81,-3.4837,0.446033
140,0.001,3,83,-3.77999,0.212071
141,0.001,3,85,-3.60417,0.34352
142,0.001,3,87,-3.57951,0.262875
143,0.001,3,88,-3.73772,0.28787
144,0.001,3,90,-3.66051,0.187402
145,0.001,3,92,-3.52181,0.219841
146,0.001,3,94,-3.87413,0.56344
147,0.001,3,96,-3.579,0.447331
148,0.001,3,98,-3.36026,0.275705
149,0.001,3,100,-3.71556,0.401824
150,0.001,4,12,-4.00541,0.323519
151,0.001,4,13,-3.46896,0.353591
