,rate,comps,nodes,LL_mean,LL_sd
0,0.001,1,3,-0.0362229,0.000543346
1,0.001,1,8,-0.0569044,0.000734566
2,0.001,1,14,-0.0887949,0.000541462
3,0.001,1,19,-0.100526,0.000679162
4,0.001,1,25,-0.1421,0.000915512
5,0.001,1,30,-0.136218,0.000544357
6,0.001,1,36,-0.147328,0.000377781
7,0.001,1,41,-0.178127,0.000401042
8,0.001,1,47,-0.22885,0.000638298
9,0.001,1,53,-0.143543,0.000481383
10,0.001,2,6,0.136818,0.000212055
11,0.001,2,11,0.145206,0.00044874
12,0.001,2,16,0.148314,0.000407128
13,0.001,2,21,0.156684,0.000497548
14,0.001,2,26,0.129551,0.000374819
15,0.001,2,32,0.135093,0.000373252
16,0.001,2,37,0.196162,0.00055355
17,0.001,2,42,0.144035,0.000365162
18,0.001,2,47,0.140265,0.000346724
19,0.001,2,53,0.103687,0.000418944
20,0.001,3,9,0.180066,0.000325669
21,0.001,3,13,0.144902,0.000650287
22,0.001,3,18,0.166597,0.000286349
23,0.001,3,23,0.162566,0.000261363
24,0.001,3,28,0.181244,0.00028268
25,0.001,3,33,0.157171,0.000426685
26,0.001,3,38,0.142395,0.00056838
27,0.001,3,43,0.176112,0.000378636
28,0.001,3,48,0.0994275,0.000245472
29,0.001,3,53,0.165269,0.000602333
30,0.001,4,12,0.126244,0.000372361
31,0.001,4,16,0.130139,0.000411542
32,0.001,4,21,0.124461,0.000312853
33,0.001,4,25,0.138146,0.000440529
34,0.001,4,30,0.122008,0.000748905
35,0.001,4,34,0.125809,0.000363687
36,0.001,4,39,0.129947,0.000325269
37,0.001,4,43,0.119343,0.000470744
38,0.001,4,48,0.112217,0.000550965
39,0.001,4,53,0.135334,0.00042024
40,0.001,5,15,0.263978,0.000167779
41,0.001,5,19,0.256094,0.00043361
42,0.001,5,23,0.260658,0.000311683
43,0.001,5,27,0.269884,0.00037088
44,0.001,5,31,0.267352,0.000742212
45,0.001,5,36,0.273721,0.000250248
46,0.001,5,40,0.241678,0.000222426
47,0.001,5,44,0.281245,0.000424874
48,0.001,5,48,0.251949,0.000190797
49,0.001,5,53,0.264504,0.000327734
50,0.001,6,18,0.181549,0.000350776
51,0.001,6,21,0.168477,0.000249222
52,0.001,6,25,0.159198,0.000371654
53,0.001,6,29,0.187461,0.000235027
54,0.001,6,33,0.202139,0.000265246
55,0.001,6,37,0.175438,0.000292208
56,0.001,6,41,0.203579,0.000360154
57,0.001,6,45,0.158387,0.000250637
58,0.001,6,49,0.158632,0.000733886
59,0.001,6,53,0.162931,0.000273596
60,0.001,7,21,0.105303,0.00045015
61,0.001,7,24,0.0986531,0.000207542
62,0.001,7,28,0.106612,0.000389521
63,0.001,7,31,0.0876521,0.000339891
64,0.001,7,35,0.117668,0.000675845
65,0.001,7,38,0.108754,0.00048974
66,0.001,7,42,0.0921883,0.000539583
67,0.001,7,45,0.0937531,0.000438059
68,0.001,7,49,0.118691,0.000612523
69,0.001,7,53,0.0918167,0.000360152
70,0.001,8,24,0.147695,0.000379344
71,0.001,8,27,0.157825,0.000375462
72,0.001,8,30,0.15632,0.000442743
73,0.001,8,33,0.15311,0.000181937
74,0.001,8,36,0.154534,0.000416259
75,0.001,8,40,0.125488,0.00072944
76,0.001,8,43,0.136388,0.000559922
77,0.001,8,46,0.147161,0.000507519
78,0.001,8,49,0.137536,0.00102106
79,0.001,8,53,0.136918,0.000505846
80,0.001,9,27,0.208339,0.000307875
81,0.001,9,29,0.194335,0.00019026
82,0.001,9,32,0.200607,0.000207374
83,0.001,9,35,0.197123,0.000318999
84,0.001,9,38,0.19462,0.000404764
85,0.001,9,41,0.215709,0.000218894
86,0.001,9,44,0.209019,0.000290631
87,0.001,9,47,0.20636,0.000491276
88,0.001,9,50,0.194726,0.000107512
89,0.001,9,53,0.185167,0.000518958
90,0.001,10,30,0.244249,0.000518118
91,0.001,10,32,0.235835,0.000414005
92,0.001,10,35,0.25218,0.000324991
93,0.001,10,37,0.251476,0.000342759
94,0.001,10,40,0.21047,0.000587159
95,0.001,10,42,0.234276,0.000260697
96,0.001,10,45,0.247831,0.000440533
97,0.001,10,47,0.247224,0.000119347
98,0.001,10,50,0.240722,0.000224733
99,0.001,10,53,0.237322,0.000300174
