,rate,comps,nodes,LL
0,0.001,1,3,2.76194
1,0.001,1,10,1.53105
2,0.001,1,17,inf
3,0.001,1,24,inf
4,0.001,1,31,inf
5,0.001,1,38,inf
6,0.001,1,45,inf
7,0.001,1,52,inf
8,0.001,1,59,inf
9,0.001,1,66,nan
10,0.001,2,6,1.48652
11,0.001,2,12,3.61142
12,0.001,2,19,5.84633
13,0.001,2,26,2.30543
14,0.001,2,32,2.26926
15,0.001,2,39,2.38412
16,0.001,2,46,3.46131
17,0.001,2,52,3.49424
18,0.001,2,59,2.61275
19,0.001,2,66,3.30023
20,0.001,3,9,2.04453
21,0.001,3,15,5.31437
22,0.001,3,21,2.58337
23,0.001,3,28,2.92563
24,0.001,3,34,3.04377
25,0.001,3,40,3.10535
26,0.001,3,47,2.83608
27,0.001,3,53,4.94017
28,0.001,3,59,2.12486
29,0.001,3,66,3.40261
30,0.001,4,12,2.76711
31,0.001,4,18,4.6534
32,0.001,4,24,5.0177
33,0.001,4,30,2.50991
34,0.001,4,36,2.37338
35,0.001,4,42,2.94711
36,0.001,4,48,2.89612
37,0.001,4,54,3.14686
38,0.001,4,60,1.88263
39,0.001,4,66,2.30737
40,0.001,5,15,2.30009
41,0.001,5,20,2.46653
42,0.001,5,26,2.41191
43,0.001,5,32,2.20583
44,0.001,5,37,3.10086
45,0.001,5,43,2.81259
46,0.001,5,49,2.87831
47,0.001,5,54,2.59447
48,0.001,5,60,2.32464
49,0.001,5,66,1.90904
50,0.0005,1,3,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
